anatomy,acceleration,chosen_K,chosen_BS,chosen_name,chosen_mean_nrmse,n_candidates,losers
all_knee,4,2,4,COMBINED_DOGG_R4_K2_BS4,0.0755014389878593,4,K1_BS4=0.075564; K4_BS4=0.075645; K8_BS4=0.075913
all_knee,8,4,8,COMBINED_DOGG_R8_K4_BS8,0.0896239885329897,5,K16_BS8=0.090255; K1_BS8=0.090013; K2_BS8=0.089730; K8_BS8=0.089779
all_knee,12,6,12,COMBINED_DOGG_R12_K6_BS12,0.0974711879531574,5,K12_BS12=0.097830; K1_BS12=0.098245; K24_BS12=0.098284; K3_BS12=0.097630
all_knee,16,8,16,COMBINED_DOGG_R16_K8_BS16,0.1032381689863248,5,K16_BS16=0.103582; K1_BS16=0.104270; K32_BS16=0.104569; K4_BS16=0.103324
all_knee,20,5,20,COMBINED_DOGG_R20_K5_BS20,0.1079035297480983,5,K10_BS20=0.107934; K1_BS20=0.109128; K20_BS20=0.108523; K40_BS20=0.109965
pd_knee,4,8,4,PD_DOGG_R4_K8_BS4,0.0390255386987546,4,K1_BS4=0.039495; K2_BS4=0.039192; K4_BS4=0.039035
pd_knee,8,16,8,PD_DOGG_R8_K16_BS8,0.0514005515350786,5,K1_BS8=0.053311; K2_BS8=0.052465; K4_BS8=0.051826; K8_BS8=0.051455
pd_knee,12,12,12,PD_DOGG_R12_K12_BS12,0.0594838979820058,5,K1_BS12=0.062307; K24_BS12=0.059637; K3_BS12=0.060632; K6_BS12=0.059877
pd_knee,16,32,16,PD_DOGG_R16_K32_BS16,0.0658974026085572,5,K16_BS16=0.065974; K1_BS16=0.068851; K4_BS16=0.066755; K8_BS16=0.066118
pd_knee,20,10,20,PD_DOGG_R20_K10_BS20,0.0710280418297472,5,K1_BS20=0.074604; K20_BS20=0.071459; K40_BS20=0.072063; K5_BS20=0.071596
pdfs_knee,4,1,4,PDFS_DOGG_R4_K1_BS4,0.1110464703947067,4,K2_BS4=0.111274; K4_BS4=0.111625; K8_BS4=0.112184
pdfs_knee,8,1,8,PDFS_DOGG_R8_K1_BS8,0.1269614157736504,5,K16_BS8=0.128973; K2_BS8=0.127142; K4_BS8=0.127521; K8_BS8=0.128100
pdfs_knee,12,1,12,PDFS_DOGG_R12_K1_BS12,0.135319902681788,5,K12_BS12=0.136569; K24_BS12=0.137483; K3_BS12=0.135427; K6_BS12=0.135862
pdfs_knee,16,1,16,PDFS_DOGG_R16_K1_BS16,0.1412427079427104,5,K16_BS16=0.142506; K32_BS16=0.144036; K4_BS16=0.141282; K8_BS16=0.141709
pdfs_knee,20,1,20,PDFS_DOGG_R20_K1_BS20,0.1458915003843301,5,K10_BS20=0.146521; K20_BS20=0.147455; K40_BS20=0.149122; K5_BS20=0.145917
t2_brain,4,2,4,brain_DOGG_R4_K2_BS4,0.0898736586000994,4,K1_BS4=0.089982; K4_BS4=0.089895; K8_BS4=0.090054
t2_brain,8,8,8,brain_DOGG_R8_K8_BS8,0.1040209603233451,5,K16_BS8=0.104114; K1_BS8=0.104954; K2_BS8=0.104441; K4_BS8=0.104148
t2_brain,12,12,12,brain_DOGG_R12_K12_BS12,0.1112651353573688,5,K1_BS12=0.112758; K24_BS12=0.111393; K3_BS12=0.111715; K6_BS12=0.111390
t2_brain,16,16,16,brain_DOGG_R16_K16_BS16,0.1163247345581698,5,K1_BS16=0.118181; K32_BS16=0.116656; K4_BS16=0.116679; K8_BS16=0.116374
t2_brain,20,10,20,brain_DOGG_R20_K10_BS20,0.1204882698854376,5,K1_BS20=0.122631; K20_BS20=0.120552; K40_BS20=0.121161; K5_BS20=0.120788
